sample,gt_idx,PartAI/Tooka-SBERT-V2-Large,intfloat/multilingual-e5-base,google/embeddinggemma-300m,xmanii/maux-gte-persian,sentence-transformers/LaBSE,BAAI/bge-m3,tooka-sbert-v2-large-finetuned
باسلام، من در باشگاه مشتریان دارای امتیاز دومیلیون وچهارصد حدودا هستم و وقتی برای دریافت تسهیلات اقدام میکنم فقط وام پنج میلیون تومانی را میتوانم انتخاب کنم درحالی که طبق جدول تبدیل امتیاز من میتوانم وام را باتبدیل امتیاز یکمیلیون وهشصد بردارم چرا؟,10,10,10,10,10,10,10,10
سلام . وقت به خیر . میخواستم ببینم چرا برای دریافت وام امتیازی فقط مبلغ پنج میلیون باز هست در حالی که امتیاز من تا پونزده تومن میرسه,10,10,10,10,10,8,10,10
"سلام روز بخیر
امتیاز من ۹۲۹.۶۹۰ می باشد و طبق جدول امتیاز دهی و تسهیلات، باید مبلغ ده میلیون تومان و شیش ماهه به من تعلق گیرد، ولی تسهیلات حساب شده برای من پنج میلیون تومان است، لطفا بررسی بفرمائید",10,12,10,10,10,8,10,10
سلام صبحتون بخیر . چرا من با امتیاز ۹۰۰ هزار تا  وام پنج میلیونی برام باز شده ؟  پس جدول امتیاز ها واسه چی گذاشتید ؟,10,12,10,10,10,8,12,12
سلام چرا امتیاز نمیگیرم؟؟.,11,10,8,8,10,8,10,11
سلام چرا از وقتی واریز به حساب داشتم، امتیاز مثبت محسوب نمیشود؟؟؟,11,16,20,4,20,1,10,16
"سلام وقت بخیر خسته نباشید 
نحوه امتیاز گیری به چه صورت انجام میشه 
باید چند روز داخل کارت باشه",11,11,5,7,11,8,11,11
سلام خسته نباشید امتیاز تسهیلات من چرا زیاد نمیشه با این همه سپرده بالام,11,10,10,8,10,8,10,10
"سلام وقت بخیر 
برای حساب جاری هم امتیاز میدین یا فقط قرض الحسنه ؟ 
و شرایط جمع آوری امتیاز و دریافت تسهیلات را لطفا توضیح بدین ؟ 
و اینکه کارت های بانک قابلیت برداشت نقدی از خودپرداز را نداره؟",12,8,8,24,4,8,12,11
سلام وقتتون بخیر میخواستم بدونم معیار برای دریافت امتیاز مناسب جهت دریافت تسهیلات و وام چه میباشد,12,12,12,8,12,8,12,12
سلام روز بخیر شرایط دریافت وام با امتیاز به چه صورته؟نیاز به ضامن و سفته دارد؟سود چند درصد است؟,12,12,8,8,12,8,8,12
من رمز خود را فراموش کردم,13,13,20,9,13,13,13,13
چکونه میتوان رمزعبورراتعقیرداد,13,13,9,9,13,6,13,13
سلام وقت بخيررر،ميخوام رمز براي كارتم اوكي كنم، چطور انجام بدم؟,14,14,8,9,14,13,15,14
سلام کارتمو گرفتم رمز ندارم چجوری رمزشو بگیرم,14,14,14,9,14,24,15,15
با سلام رمز اولیه کارتم چهار رقم کد ملی نمیباشد و من میخاهم تغییر رمز بزنم,15,15,15,8,15,15,15,15
"با سلام  برای تخصیص وتغییر رمز گزینه اش فعال نیست که رمز کارتمو تغییر بدم خواهشمندم 
راهنمایی ام کنید.",15,13,20,8,15,13,15,13
سلام رمز اول خود را فراموش کردم چطور میشه باز آوریش کنم؟؟؟؟؟,15,13,15,15,15,15,15,15
"سلام خسته نباشید من برام از برنامه پیام اومد واریز پل رومی ۴ میلیون ۲۵۰ هزارتومن حالا که
 اومدم نگاه کردم میبینم نه تو پیام ها هست اون پیام ونه اضافه شده به موجودیم",16,16,20,8,5,17,20,16
"سلام و خسته نباشد در تاریخ 1403/06/20 تراکنشی به مبلغ 51596526 ریال در صورتحساب داشتم 
که نیاز به رسید مبلغ برداشتی دارم لطفا راهنمایی میفرمایید چگونه به رسید این تراکنش دسترسی داشته باشم ممنونم",16,16,4,10,18,8,4,16
سلام وقتتون بخیر چطوری میتونم واریزای ب کارتخوان و پی دی افشو بکیرم,17,4,8,8,4,8,4,4
متاسفانه این مسیر هم پاسخگو نبود وامکان دانلود فایل بصورت PDFوجود ندارد . فقط اکسل صورتحساب قابل چاپ هست,17,17,17,17,17,17,17,17
"سلام روزبخیر
چرا دسترسی به فایل حسابهای سالهای قبل مقدور نیست؟  ضعف بزرگی هست برای بانک آرمان.",18,17,1,13,10,18,18,17
"سلام
میخواستم تراکنش یک سال گذشته رو دریافت کنم. امکانش هست؟ یا باید به شعبه مراجعه کنم؟
ممنون",18,18,18,18,18,18,18,16
سلام چقدردرروزمی توان بااین برنامه کارت به کارت کرد,19,4,19,19,19,8,19,19
"سلام 
سقف کارت به کارت چقدر هست؟",19,19,19,19,19,19,19,19
"سلام در ساعت ۲ صبح نهصدهزارتومن کارت به کارت کردم ولی متاسفانه تا این ساعت(۳/۲۰)دقیقه واریز نشده 
مبلغ همان لحظه از حساب من برداشت شد",20,20,20,4,20,20,20,20
سلام اولین تراکنش من با این کارت به مبلغ ده میلیون تومان انجام شد که نوشت نا موفق ولی از حسابم مبلغش کم شده !!,20,20,20,19,20,4,20,20
سلام من مارت به کارت انجام دادم ولی رسید نا موفق شد اما از حساب من برداشت شده لطف کنید راهنمایی کنید شرایط برام حساس هست,20,20,20,4,20,20,20,20
"سلام خسته نباشید 
بنده برای وام ازدواج اقدام کردم و مدارک رو بارگذاری کردم .مدارک ضامن رو هم جای مخصوصی نداشت با بانک تماس گرفتم گفتند در جای خالی بارگذاری کنید 
الان میخوام بدونم که بانک با بنده برای ادامه کار تماس می‌گیرند یا خودم باید پیگیر بشم؟",21,21,16,24,21,16,21,21
سلام وقت بخیر ببخشید بابت وام ازدواج باید تو همین برنامه مدارک رو بارگذاری کرد کدوم قسمت برنامه باید برم,21,21,8,8,21,8,21,21
درخواست  وام ازدواج دارم  چگونه مدراک ارسال کنم,21,21,21,21,21,21,21,21
سلام وقت بخیر برای وام ازدواج چه نوع حسابی باید باز کنم,21,21,8,8,21,8,21,21
"سلام دریافت تسهیلات ازدواج از طریق همراه بانک امکان پذیر نیست که بتونم خودم این مراحل رو انجام 
بدم که کارم سری تر انجام بشه چونکه خود شعبه هیچ اشتیاق به دادن تسهیلات نیست",21,21,21,21,21,10,21,21
سلام این تسهیلات ازدواج میشه توضیح بدید چه جوری,21,21,21,21,21,8,21,21
"سلام
برای وام ازدواج برای من اس ام اس اومده که باید تو های بانک مراجعه کنم واسه تکمیل مدارک چیکار باید بکنم برای شروع ممنون میشم من رو راهنمایی بفرمایید؟",21,21,21,8,21,8,21,21
"باسلام و احترام
برای تسهیلات فرزندآوری می خواهم ثبت نام کنم. آیا می توانم خودم به عنوان ضامن (چون کارمند بوده و فیش حقوقی دارم) اقدام به بارگذاری مدارک به عنوان ضامن نمایم؟ 
یا باید شخص دیگری به عنوان ضامن انتخاب کنم؟",22,22,22,22,22,21,22,22
وقت بخیر برای تسهیلات فرزند آوری کدوم قسمت باید برم,22,22,22,22,22,22,22,22
"سبام 
ایا امکان دریافت تهسیلات وعدیه مسکن در بانک آرمان میسر می باشد؟
شرایط؟",23,23,8,12,23,16,23,23
"سلام  عرض ادب خدا قوت 
عذر میخوام چطور میتونم وام ودیعه مسکن بگیرم؟ آیا بانک آرمان تسهیلات  وام ودیعه ارائه میدهد؟",23,23,23,24,23,8,23,23
"درود بر شما
تسهیلات ودیعه مسکن از طریق موبایل بانک ممکن هست؟
اطلاعات شرایط و مدارک را از کجا می‌توانم بررسی کنم؟",23,23,23,23,23,23,23,23
سلام،من دریافت تسهیلات رو‌که میزنم پیام «فیلد شماره گواهی استعلام کد مالیاتی باید ۱۵ رقمی باشد» میده، متوجه نمیشم، باید چیکار کنم؟,24,24,24,4,24,24,24,24
